,Ticker 1,Ticker 2,Mean,Standard Deviation,Range
171,NNI,WU,99.41142042765176,4.8671371989205285,26.373482704162598
172,NNI,NAVI,95.85302123870237,4.528085938046706,23.792935371398926
173,NNI,AGM-A,-32.771394599393666,10.0288883773544,42.547607421875
174,NNI,OPFI,102.13957258017666,4.707877389183662,25.627562522888184
175,BFH,ENVA,-38.27075342385166,9.46010794388707,38.027122497558594
176,BFH,WU,42.48250317477797,6.344368839572923,26.826327323913574
177,BFH,NAVI,38.924103985828566,5.987569253183448,25.050135612487793
178,BFH,AGM-A,-89.70031185226748,8.38076873688288,41.91609573364258
179,BFH,OPFI,45.21065532730287,5.734953996728864,25.527904987335205
180,ENVA,WU,80.75325659862962,13.483907953653858,57.3572883605957
181,ENVA,NAVI,77.19485740968022,13.324430996254643,56.92000961303711
182,ENVA,AGM-A,-51.42955842841581,12.86382253730477,66.30998229980469
183,ENVA,OPFI,83.48140875115452,10.685636595938044,44.177056074142456
184,WU,NAVI,-3.558399188949401,0.8695777615178244,3.962553024291992
185,WU,AGM-A,-132.18281502704545,10.683848715288594,44.82660961151123
186,WU,OPFI,2.7281521525248946,3.9353195340672147,14.589092254638672
187,NAVI,AGM-A,-128.62441583809604,10.260565781342612,43.41102886199951
188,NAVI,OPFI,6.286551341474295,4.054612332891996,15.300804138183594
189,AGM-A,OPFI,134.91096717957032,11.29766915628627,47.49616551399231
